"satisfaction_level","last_evaluation","number_project","average_monthly_hours","time_spend_company","work_accident","left","promotion_last_5years","department","salary"
0.87,0.88,5,269,62,0,1,0,"technical","low"
0.45,0.48,2,158,42,0,1,0,"technical","low"
0.4,0.46,2,127,32,0,1,0,"technical","low"
0.1,0.8,7,281,42,0,1,0,"technical","low"
0.09,0.89,6,276,43,0,1,0,"technical","low"
0.84,0.74,3,182,46,0,1,0,"technical","low"
0.4,0.55,2,147,28,0,1,0,"support","low"
0.57,0.7,3,273,70,0,1,0,"support","low"
0.4,0.54,2,148,34,0,1,0,"support","low"
0.43,0.47,2,147,36,0,1,0,"support","low"
0.13,0.78,6,152,25,0,1,0,"support","low"
0.44,0.55,2,135,38,0,1,0,"support","low"
0.38,0.55,2,134,37,0,1,0,"support","low"
0.39,0.54,2,132,40,0,1,0,"support","low"
0.1,0.92,7,307,50,0,1,0,"support","low"
0.37,0.46,2,140,36,0,1,0,"support","low"
0.11,0.94,7,255,48,0,1,0,"support","low"
0.1,0.81,6,309,47,0,1,0,"technical","low"
0.38,0.54,2,128,29,0,1,0,"technical","low"
0.85,1,4,225,65,0,1,0,"technical","low"
0.85,0.91,5,226,63,0,1,0,"management","medium"
0.11,0.93,7,308,49,0,1,0,"IT","medium"
0.1,0.95,6,244,61,0,1,0,"IT","medium"
0.36,0.56,2,132,39,0,1,0,"IT","medium"
0.11,0.94,6,286,45,0,1,0,"IT","medium"
0.81,0.7,6,161,44,0,1,0,"IT","medium"
0.43,0.54,2,153,30,0,1,0,"product_mng","medium"
0.9,0.98,4,264,73,0,1,0,"product_mng","medium"
0.76,0.86,5,223,62,1,1,0,"product_mng","medium"
0.43,0.5,2,135,36,0,1,0,"product_mng","medium"
0.74,0.99,2,277,38,0,1,0,"IT","medium"
0.09,0.77,5,275,49,0,1,0,"product_mng","medium"
0.45,0.49,2,149,39,0,1,0,"product_mng","high"
0.09,0.87,7,295,49,0,1,0,"product_mng","low"
0.11,0.97,6,277,59,0,1,0,"product_mng","medium"
0.11,0.79,7,306,43,0,1,0,"product_mng","medium"
0.1,0.83,6,295,41,0,1,0,"product_mng","medium"
0.4,0.54,2,137,42,0,1,0,"marketing","medium"
0.43,0.56,2,157,43,0,1,0,"sales","low"
0.39,0.56,2,142,37,0,1,0,"accounting","low"
0.45,0.54,2,140,46,0,1,0,"support","low"
0.38,0.49,2,151,43,0,1,0,"technical","low"
0.79,0.59,4,139,36,0,1,1,"management","low"
0.84,0.85,4,249,73,0,1,0,"marketing","low"
0.11,0.77,6,291,60,0,1,0,"marketing","low"
0.11,0.87,6,305,48,0,1,0,"marketing","low"
0.17,0.84,5,232,34,0,1,0,"sales","low"
0.44,0.45,2,132,36,0,1,0,"sales","low"
0.37,0.57,2,130,39,0,1,0,"sales","low"
0.1,0.79,6,291,52,0,1,0,"sales","low"
0.4,0.5,2,130,36,0,1,0,"sales","low"
0.89,1,5,246,60,0,1,0,"sales","low"
0.42,0.48,2,143,41,0,1,0,"sales","low"
0.46,0.55,2,129,30,0,1,0,"sales","low"
0.09,0.83,6,255,44,0,1,0,"sales","low"
0.37,0.51,2,155,36,0,1,0,"sales","low"
0.1,0.77,6,265,47,0,1,0,"sales","low"
0.1,0.84,6,279,41,0,1,0,"sales","low"
0.11,0.97,6,284,40,0,1,0,"sales","low"
0.9,1,5,221,78,0,1,0,"sales","medium"
0.38,0.52,2,154,41,0,1,0,"sales","medium"
0.36,0.52,2,147,34,0,1,0,"sales","medium"
0.42,0.46,2,150,31,0,1,0,"sales","medium"
0.09,0.94,7,267,38,0,1,0,"sales","medium"
0.43,0.52,2,158,43,0,1,0,"sales","medium"
0.24,0.46,7,224,52,0,1,0,"accounting","medium"
0.91,1,4,257,65,0,1,0,"accounting","medium"
0.44,0.5,2,148,31,0,1,0,"accounting","medium"
0.71,0.87,3,177,49,0,1,0,"hr","medium"
0.4,0.49,2,155,29,0,1,0,"hr","medium"
0.43,0.47,2,144,23,0,1,0,"hr","medium"
0.09,0.85,6,289,53,0,1,0,"hr","high"
0.43,0.52,2,160,32,0,1,0,"technical","low"
0.9,0.96,4,258,65,0,1,0,"technical","medium"
0.84,1,5,234,62,0,1,0,"technical","medium"
0.37,0.48,2,137,43,0,1,0,"technical","medium"
0.86,0.68,5,263,17,0,1,0,"technical","medium"
0.11,0.84,6,251,50,0,1,0,"technical","low"
0.37,0.57,2,133,36,0,1,0,"technical","low"
0.4,0.46,2,132,42,0,1,0,"technical","low"
0.14,0.62,4,158,38,1,1,0,"technical","low"
0.4,0.46,2,135,34,0,1,0,"technical","low"
0.75,1,4,216,68,0,1,0,"technical","low"
0.11,0.84,6,300,62,1,1,0,"support","low"
0.46,0.49,2,138,44,0,1,0,"support","low"
0.11,0.92,6,260,41,0,1,0,"support","low"
0.38,0.49,2,132,50,0,1,0,"support","low"
0.7,0.89,3,183,58,0,1,0,"support","low"
0.09,0.82,6,250,50,0,1,0,"support","low"
0.37,0.45,2,151,26,0,1,0,"support","low"
0.1,0.83,6,292,43,0,1,0,"support","low"
0.38,0.57,2,140,33,0,1,0,"support","low"
0.9,1,5,221,56,0,1,0,"support","low"
0.44,0.51,2,138,34,0,1,0,"support","low"
0.36,0.5,2,132,35,0,1,0,"technical","low"
0.31,0.84,7,133,56,0,1,0,"technical","low"
0.1,0.84,6,283,48,1,1,0,"technical","low"
0.42,0.48,2,129,33,0,1,0,"management","low"
0.74,1,4,249,57,0,1,0,"IT","low"
0.73,0.87,5,257,66,0,1,0,"IT","low"
0.09,0.96,6,245,54,0,1,0,"IT","low"
0.45,0.53,2,155,36,0,1,0,"IT","low"
0.11,0.8,6,256,42,0,1,0,"IT","low"
0.37,0.47,2,152,41,0,1,0,"product_mng","low"
0.84,0.99,4,267,55,0,1,0,"product_mng","low"
0.41,0.46,2,151,47,0,1,0,"product_mng","low"
0.76,0.92,4,239,59,0,1,0,"product_mng","low"
0.11,0.87,6,306,49,0,1,0,"IT","low"
0.84,0.88,4,263,67,1,1,0,"marketing","low"
0.39,0.5,2,147,30,0,1,0,"marketing","low"
0.11,0.91,6,278,44,0,1,0,"marketing","low"
0.45,0.56,2,154,35,0,1,0,"marketing","low"
0.37,0.52,2,143,37,0,1,0,"marketing","low"
0.4,0.52,2,155,34,0,1,0,"marketing","low"
0.39,0.48,2,160,32,0,1,0,"sales","low"
0.11,0.8,6,304,52,0,1,0,"accounting","low"
0.83,1,5,240,56,0,1,0,"support","low"
0.11,0.92,6,305,44,0,1,0,"technical","low"
0.39,0.5,2,136,37,0,1,0,"management","low"
0.45,0.45,2,132,34,0,1,0,"marketing","low"
0.1,0.95,7,301,47,0,1,0,"marketing","low"
0.9,0.98,5,243,70,0,1,0,"marketing","low"
0.45,0.51,2,147,39,0,1,0,"sales","low"
0.79,0.89,5,239,63,0,1,0,"sales","low"
0.9,0.99,5,260,61,0,1,0,"sales","low"
0.11,0.84,7,296,56,0,1,0,"sales","low"
0.43,0.55,2,129,42,0,1,0,"sales","low"
0.31,0.54,5,132,51,0,1,0,"sales","low"
0.32,0.5,2,135,60,0,1,0,"sales","low"
0.45,0.57,2,158,43,0,1,0,"sales","low"
0.81,0.99,4,259,64,0,1,0,"sales","low"
0.41,0.46,2,160,33,0,1,1,"sales","low"
0.11,0.78,7,278,41,0,1,0,"sales","low"
0.1,0.88,6,284,42,0,1,0,"sales","low"
0.7,0.53,2,274,57,0,1,0,"sales","low"
0.54,0.74,4,164,30,0,1,0,"sales","low"
0.41,0.48,2,148,30,0,1,0,"sales","low"
0.38,0.5,2,140,42,0,1,0,"sales","medium"
0.37,0.51,2,127,31,0,1,0,"sales","medium"
0.11,0.85,6,308,59,0,1,0,"sales","medium"
0.4,0.47,2,146,39,0,1,0,"sales","medium"
0.1,0.84,6,261,36,0,1,0,"accounting","medium"
0.89,0.99,5,257,65,0,1,0,"accounting","medium"
0.11,0.8,6,285,41,0,1,0,"accounting","medium"
0.36,0.55,2,141,43,0,1,0,"hr","medium"
0.4,0.46,2,127,33,0,1,0,"hr","medium"
0.09,0.85,6,297,48,0,1,0,"hr","medium"
0.4,0.46,2,143,37,0,1,0,"hr","medium"
0.37,0.55,2,152,42,0,1,0,"technical","medium"
0.44,0.51,2,156,34,0,1,0,"technical","high"
0.09,0.8,7,283,56,0,1,0,"technical","low"
0.92,0.87,4,226,72,1,1,0,"technical","medium"
0.74,0.91,4,232,56,0,1,0,"technical","medium"
0.09,0.82,6,249,46,0,1,0,"technical","medium"
0.89,0.95,4,275,58,0,1,0,"technical","medium"
0.09,0.8,6,304,41,0,1,0,"technical","low"
0.27,0.54,7,278,33,0,1,0,"technical","low"
0.1,0.91,6,287,52,0,1,0,"technical","low"
0.1,0.89,7,285,44,0,1,0,"technical","low"
0.77,0.94,5,226,84,0,1,0,"support","low"
0.9,0.82,5,259,61,0,1,0,"support","low"
0.39,0.5,2,135,37,0,1,0,"support","low"
0.76,1,5,219,55,0,1,0,"support","low"
0.1,0.93,6,256,48,0,1,0,"support","low"
0.87,0.9,5,254,66,0,1,0,"support","low"
0.38,0.5,2,153,38,0,1,0,"support","low"
0.77,0.99,5,228,54,0,1,0,"support","low"
0.78,0.87,4,228,58,0,1,0,"support","low"
0.44,0.5,2,128,33,0,1,0,"support","low"
0.38,0.52,2,153,28,0,1,0,"support","low"
0.43,0.46,2,156,32,0,1,0,"technical","low"
0.39,0.5,4,294,34,0,1,0,"technical","low"
0.88,1,5,219,64,0,1,0,"technical","low"
0.45,0.46,2,153,34,0,1,0,"management","low"
0.4,0.53,2,151,37,0,1,0,"IT","low"
0.36,0.51,2,155,35,0,1,0,"IT","low"
0.36,0.48,2,158,37,0,1,0,"IT","low"
0.9,0.98,5,245,61,0,1,0,"IT","low"
0.43,0.53,2,131,42,0,1,0,"IT","low"
0.89,0.87,5,225,57,0,1,0,"product_mng","low"
0.1,0.84,6,286,50,0,1,0,"product_mng","low"
0.37,0.5,2,135,37,0,1,0,"product_mng","low"
0.37,0.51,2,153,40,0,1,0,"product_mng","low"
0.87,0.9,5,252,67,0,1,0,"IT","low"
0.4,0.56,2,149,29,0,1,0,"accounting","low"
0.9,0.97,4,258,57,0,1,0,"accounting","low"
0.37,0.46,2,158,33,0,1,0,"hr","low"
0.44,0.54,2,149,41,0,1,0,"hr","low"
0.85,0.95,5,236,56,0,1,0,"hr","low"
0.78,0.98,5,239,63,0,1,0,"marketing","low"
0.42,0.47,2,159,37,0,1,0,"marketing","low"
0.92,0.99,5,255,60,0,1,0,"sales","low"
0.11,0.83,6,244,47,0,1,0,"accounting","low"
0.42,0.56,2,134,36,0,1,0,"support","low"
0.48,0.57,4,270,47,0,1,0,"technical","low"
0.83,0.85,4,255,59,0,1,0,"management","low"
0.4,0.53,2,151,41,0,1,0,"marketing","low"
0.43,0.45,2,135,40,0,1,0,"marketing","low"
0.43,0.53,2,146,33,0,1,0,"marketing","low"
0.1,0.97,7,254,45,0,1,0,"sales","low"
0.1,0.87,7,289,43,0,1,0,"sales","low"
0.37,0.46,2,156,36,0,1,0,"sales","low"
0.38,0.53,2,156,34,0,1,0,"sales","low"
0.4,0.5,2,128,37,0,1,0,"sales","low"
0.89,0.86,5,275,59,0,1,0,"sales","low"
0.45,0.46,2,155,37,0,1,0,"sales","low"
0.37,0.48,2,159,37,0,1,0,"sales","low"
0.46,0.49,2,148,37,0,1,0,"sales","low"
0.87,0.91,4,228,58,0,1,0,"sales","low"
0.11,0.84,6,298,47,0,1,0,"sales","low"
0.79,0.87,5,261,65,0,1,0,"sales","low"
0.79,0.92,5,254,74,0,1,0,"sales","low"
0.19,0.59,7,192,41,0,1,0,"sales","low"
0.87,0.98,4,248,57,0,1,0,"sales","low"
0.6,0.92,2,258,70,0,1,0,"sales","low"
0.44,0.45,2,156,45,0,1,0,"sales","medium"
0.11,0.81,6,266,49,1,1,0,"sales","medium"
0.42,0.54,2,156,37,0,1,0,"sales","medium"
0.88,0.88,5,232,66,1,1,0,"accounting","medium"
0.11,0.84,6,287,51,0,1,0,"accounting","medium"
0.46,0.46,2,154,33,0,1,0,"accounting","medium"
0.82,0.97,5,263,60,0,1,0,"hr","medium"
0.44,0.56,2,131,30,0,1,0,"hr","medium"
0.11,0.78,6,260,45,0,1,0,"hr","medium"
0.42,0.5,2,139,40,0,1,0,"hr","medium"
0.84,0.93,4,251,53,0,1,0,"technical","medium"
0.11,0.95,6,286,35,0,1,0,"technical","medium"
0.45,0.53,2,129,41,0,1,0,"technical","high"
0.38,0.56,2,156,40,0,1,0,"technical","low"
0.38,0.86,6,139,74,0,1,0,"technical","medium"
0.44,0.51,2,127,35,0,1,0,"technical","medium"
0.11,0.84,6,251,46,0,1,0,"technical","medium"
0.81,0.93,5,270,59,0,1,0,"technical","medium"
0.09,0.96,6,296,49,0,1,0,"technical","low"
0.11,0.9,6,254,47,0,1,0,"technical","low"
0.81,0.95,5,238,74,0,1,0,"technical","low"
0.1,0.97,6,267,39,1,1,0,"support","low"
0.74,0.89,5,229,85,0,1,0,"support","low"
0.09,0.78,6,254,50,0,1,0,"support","low"
0.82,0.81,4,233,46,1,1,0,"support","low"
0.1,0.98,6,268,52,0,1,0,"support","low"
0.27,0.56,3,301,33,0,1,0,"support","low"
0.83,0.92,5,267,80,0,1,0,"support","low"
0.1,0.93,6,289,47,1,1,0,"support","low"
0.38,0.47,2,144,46,0,1,0,"support","low"
0.4,0.56,2,148,40,0,1,0,"support","low"
0.11,0.83,6,306,38,0,1,0,"support","low"
0.11,0.79,6,292,39,0,1,1,"technical","low"
0.82,0.91,5,232,55,0,1,0,"technical","low"
0.36,0.48,2,137,35,0,1,0,"technical","low"
0.4,0.46,2,128,26,0,1,0,"management","low"
0.87,0.84,5,231,73,0,1,0,"IT","low"
0.41,0.49,2,146,32,0,1,0,"IT","low"
0.11,0.91,6,308,50,1,1,0,"IT","low"
0.1,0.93,6,253,47,0,1,0,"IT","medium"
0.38,0.51,2,146,32,0,1,0,"IT","medium"
0.39,0.55,2,156,36,0,1,0,"product_mng","medium"
0.4,0.52,2,147,37,0,1,0,"product_mng","medium"
0.45,0.48,2,136,39,0,1,0,"product_mng","medium"
0.74,0.84,5,249,59,0,1,0,"product_mng","medium"
0.45,0.55,2,151,38,0,1,0,"IT","medium"
0.12,1,3,278,52,0,1,0,"RandD","medium"
0.1,0.77,7,250,55,0,1,0,"RandD","medium"
0.37,0.55,2,127,42,0,1,0,"RandD","medium"
0.89,0.87,5,255,57,0,1,0,"RandD","medium"
0.45,0.47,2,135,34,0,1,0,"RandD","medium"
0.37,0.46,2,149,35,0,1,0,"marketing","high"
0.11,0.81,5,287,41,0,1,0,"sales","low"
0.41,0.48,2,145,30,0,1,0,"accounting","medium"
0.1,0.94,6,285,39,0,1,0,"support","medium"
0.1,0.93,7,305,49,0,1,0,"technical","medium"
0.11,0.95,7,300,51,0,1,0,"management","medium"
0.4,0.54,2,139,32,0,1,0,"marketing","low"
0.41,0.49,2,130,39,0,1,0,"marketing","low"
0.1,0.81,6,268,55,0,1,0,"marketing","low"
0.73,0.86,4,245,71,0,1,0,"sales","low"
0.43,0.47,2,135,39,0,1,0,"sales","low"
0.37,0.46,2,153,27,0,1,0,"sales","low"
0.11,0.94,6,276,47,0,1,0,"sales","low"
0.4,0.46,2,130,35,0,1,0,"sales","low"
0.41,0.54,2,153,37,1,1,0,"sales","low"
0.82,0.84,5,244,68,0,1,0,"sales","low"
0.61,0.47,2,253,34,0,1,0,"sales","low"
0.11,0.91,7,287,46,0,1,0,"sales","low"
0.37,0.45,2,131,36,0,1,0,"sales","low"
0.41,0.52,2,135,40,0,1,0,"sales","low"
0.37,0.52,2,157,26,0,1,0,"sales","low"
0.88,0.99,5,262,73,0,1,0,"sales","low"
0.1,0.85,6,266,43,0,1,0,"sales","low"
0.44,0.48,2,148,39,0,1,0,"sales","low"
0.38,0.57,2,140,33,0,1,0,"sales","low"
0.11,0.85,7,302,45,0,1,0,"sales","low"
0.09,0.98,6,271,55,0,1,0,"sales","low"
0.45,0.52,2,145,43,0,1,0,"sales","medium"
0.1,0.81,6,290,48,0,1,0,"accounting","medium"
0.45,0.47,2,151,32,0,1,0,"accounting","medium"
0.77,0.87,5,266,58,0,1,0,"accounting","medium"
0.44,0.51,2,140,36,0,1,0,"hr","medium"
0.39,0.5,2,142,36,0,1,0,"hr","medium"
0.1,0.91,6,246,48,0,1,0,"hr","medium"
0.09,0.89,7,308,48,0,1,0,"hr","medium"
0.37,0.47,2,141,34,0,1,0,"technical","medium"
0.9,1,5,232,55,0,1,0,"technical","medium"
0.41,0.56,2,143,39,0,1,0,"technical","medium"
0.37,0.52,2,155,36,0,1,0,"technical","medium"
0.1,0.86,6,278,51,0,1,0,"technical","high"
0.81,1,4,253,60,0,1,0,"technical","low"
0.11,0.8,6,282,48,0,1,0,"technical","medium"
0.11,0.84,7,264,50,0,1,0,"technical","medium"
0.4,0.46,2,149,35,0,1,0,"technical","medium"
0.09,0.8,6,304,61,0,1,0,"technical","medium"
0.48,0.93,3,219,75,0,1,0,"technical","low"
0.91,0.91,4,262,71,0,1,0,"support","low"
0.43,0.57,2,135,31,0,1,0,"support","low"
0.33,0.88,6,219,59,0,1,0,"support","low"
0.41,0.57,2,136,41,0,1,0,"support","low"
0.41,0.55,2,154,37,0,1,0,"support","low"
0.37,0.54,2,149,37,0,1,0,"support","low"
0.31,0.62,6,135,55,0,1,0,"support","low"
0.09,0.91,6,275,47,0,1,0,"support","low"
0.1,0.87,6,290,42,0,1,0,"support","low"
0.76,0.9,4,263,52,0,1,0,"support","low"
0.41,0.54,2,145,41,0,1,0,"support","low"
0.72,0.96,5,267,76,0,1,0,"technical","low"
0.4,0.5,2,141,36,1,1,0,"technical","low"
0.91,0.87,4,235,53,0,1,0,"technical","low"
0.1,0.83,6,258,51,0,1,0,"management","low"
0.4,0.56,2,131,31,0,1,0,"IT","low"
0.82,0.86,5,243,59,0,1,0,"IT","low"
0.1,0.82,6,266,48,0,1,0,"IT","low"
0.37,0.45,2,142,35,0,1,0,"IT","low"
0.36,0.51,2,135,37,0,1,0,"IT","low"
0.39,0.48,2,141,31,0,1,0,"product_mng","medium"
0.36,0.57,2,142,34,0,1,0,"product_mng","medium"
0.86,0.84,5,254,59,0,1,0,"product_mng","medium"
0.73,0.99,5,262,68,0,1,0,"product_mng","medium"
0.56,0.71,4,296,29,0,1,0,"IT","medium"
0.44,0.56,2,158,42,0,1,0,"accounting","medium"
0.31,0.56,4,238,26,0,1,0,"accounting","medium"
0.77,0.93,4,231,67,0,1,0,"hr","medium"
0.44,0.45,2,156,27,0,1,0,"hr","medium"
0.38,0.46,2,145,33,0,1,0,"hr","medium"
0.45,0.48,2,144,45,0,1,0,"marketing","medium"
0.38,0.51,2,159,40,0,1,0,"sales","medium"
0.36,0.48,2,156,43,0,1,0,"accounting","high"
0.75,0.9,5,256,60,0,1,0,"support","low"
0.1,0.93,6,298,53,0,1,0,"technical","medium"
0.1,0.97,6,247,50,0,1,0,"management","medium"
0.45,0.5,2,157,37,0,1,0,"marketing","medium"
0.42,0.57,2,154,29,1,1,0,"marketing","medium"
0.78,1,4,253,66,0,1,0,"marketing","low"
0.45,0.55,2,148,32,0,1,0,"sales","low"
0.84,1,4,261,51,0,1,0,"sales","low"
0.11,0.93,6,282,47,0,1,0,"sales","low"
0.42,0.56,2,133,35,0,1,0,"sales","low"
0.45,0.46,2,128,38,0,1,0,"sales","low"
0.46,0.57,2,139,44,0,1,0,"sales","low"
0.09,0.79,6,293,57,0,1,0,"sales","low"
0.87,0.83,4,265,88,0,1,0,"sales","low"
0.1,0.87,6,250,45,0,1,0,"sales","low"
0.91,1,5,251,73,0,1,0,"sales","low"
0.76,0.92,4,246,56,0,1,0,"sales","low"
0.74,1,5,275,63,0,1,0,"sales","low"
0.92,0.93,5,240,67,0,1,0,"sales","low"
0.76,0.87,5,245,56,0,1,0,"sales","low"
0.47,0.5,4,254,57,0,1,0,"sales","low"
0.73,0.99,5,241,53,0,1,0,"sales","low"
0.09,0.94,6,257,51,0,1,0,"sales","low"
0.91,0.92,4,246,56,0,1,0,"sales","low"
0.82,0.98,4,233,65,0,1,0,"sales","low"
0.28,0.45,6,218,52,0,1,0,"accounting","low"
0.84,0.99,4,262,76,0,1,0,"accounting","medium"
0.45,0.53,2,138,34,0,1,0,"accounting","medium"
0.45,0.54,2,142,42,0,1,0,"hr","medium"
0.91,0.97,5,233,59,0,1,0,"hr","medium"
0.42,0.48,2,155,34,0,1,0,"hr","medium"
0.82,1,4,229,65,0,1,0,"hr","medium"
0.11,0.9,6,264,49,0,1,0,"technical","medium"
0.42,0.53,3,199,52,0,1,0,"technical","medium"
0.82,0.85,4,223,56,0,1,0,"technical","medium"
0.09,0.96,6,268,41,0,1,0,"technical","medium"
0.1,0.94,6,287,48,0,1,0,"technical","medium"
0.86,1,5,257,60,0,1,0,"technical","medium"
0.4,0.46,2,143,33,0,1,0,"technical","high"
0.45,0.46,2,130,35,0,1,0,"technical","low"
0.42,0.51,2,136,38,0,1,0,"technical","medium"
0.74,0.92,4,261,56,0,1,0,"technical","medium"
0.55,0.6,3,180,39,0,1,0,"technical","medium"
0.37,0.45,2,126,39,0,1,0,"support","medium"
0.41,0.52,2,127,34,1,1,0,"support","low"
0.89,0.65,5,195,76,0,1,0,"support","low"
0.41,0.57,2,160,32,0,1,0,"support","low"
0.44,0.51,2,150,32,0,1,0,"support","low"
0.87,0.84,4,264,77,0,1,0,"support","low"
0.1,0.84,6,309,46,0,1,0,"support","low"
0.41,0.47,2,135,42,0,1,0,"support","low"
0.11,0.85,6,261,49,0,1,0,"support","low"
0.43,0.53,2,160,37,0,1,0,"support","low"
0.77,0.9,4,237,54,0,1,0,"support","low"
0.41,0.52,2,136,32,0,1,0,"technical","low"
0.41,0.48,2,139,38,0,1,0,"technical","low"
0.36,0.78,2,151,54,0,1,0,"technical","low"
0.77,1,5,229,54,0,1,0,"management","low"
0.81,0.98,5,245,48,0,1,0,"IT","low"
0.39,0.54,2,127,44,0,1,0,"IT","low"
0.09,0.94,6,283,67,0,1,0,"IT","low"
0.44,0.46,2,143,38,0,1,0,"IT","low"
0.1,0.84,5,298,50,0,1,0,"IT","low"
0.36,0.48,2,159,31,0,1,0,"product_mng","low"
0.81,0.92,5,239,61,0,1,0,"product_mng","low"
0.81,0.9,4,226,57,0,1,0,"product_mng","medium"
0.85,0.98,5,248,62,0,1,0,"product_mng","medium"
0.1,0.87,6,286,49,0,1,0,"IT","medium"
0.37,0.54,2,145,38,0,1,0,"RandD","medium"
0.09,0.97,7,254,50,1,1,0,"RandD","medium"
0.44,0.53,2,127,32,0,1,0,"RandD","medium"
0.86,0.93,5,223,60,0,1,0,"RandD","medium"
0.77,1,4,255,67,0,1,0,"RandD","medium"
0.41,0.48,2,136,30,0,1,0,"marketing","medium"
0.4,0.48,2,137,38,0,1,0,"sales","medium"
0.43,0.49,2,135,32,0,1,0,"accounting","medium"
0.43,0.5,2,137,41,0,1,0,"support","medium"
0.8,0.53,3,255,59,0,1,0,"technical","high"
0.8,0.85,4,273,58,0,1,0,"management","low"
0.82,0.98,5,234,61,0,1,0,"marketing","medium"
0.37,0.54,2,152,42,0,1,0,"marketing","medium"
0.37,0.48,2,134,32,0,1,0,"marketing","medium"
0.09,0.95,6,292,44,0,1,0,"sales","medium"
0.9,0.92,5,245,57,0,1,0,"sales","low"
0.41,0.52,2,159,31,0,1,0,"sales","low"
0.1,0.85,6,260,43,0,1,0,"sales","low"
0.44,0.53,2,149,36,0,1,0,"sales","low"
0.89,0.85,5,266,62,0,1,0,"sales","low"
0.42,0.56,2,149,35,0,1,0,"sales","low"
0.87,1,5,242,51,0,1,0,"sales","low"
0.45,0.57,2,134,39,0,1,0,"sales","low"
0.11,0.87,5,271,45,0,1,0,"sales","low"
0.09,0.79,6,275,49,0,1,0,"sales","low"
0.76,0.83,5,227,57,0,1,0,"sales","low"
0.11,0.96,7,277,61,0,1,0,"sales","low"
0.37,0.49,2,151,33,0,1,0,"sales","low"
0.1,0.79,6,274,46,0,1,0,"sales","low"
0.77,0.87,4,242,81,0,1,0,"sales","low"
0.42,0.54,2,143,30,1,1,0,"sales","low"
0.38,0.52,2,145,36,0,1,0,"sales","low"
0.32,0.95,5,172,17,0,1,0,"sales","low"
0.38,0.49,2,135,23,0,1,0,"accounting","low"
0.19,1,4,192,46,0,1,0,"accounting","low"
0.1,0.83,7,276,44,0,1,0,"accounting","low"
0.76,0.88,4,206,50,0,1,0,"hr","medium"
0.53,0.56,4,281,67,0,1,0,"hr","medium"
0.39,0.51,2,151,34,0,1,0,"hr","medium"
0.11,0.83,6,244,47,0,1,0,"hr","medium"
0.1,0.94,6,309,45,0,1,0,"technical","medium"
0.84,1,5,218,61,0,1,0,"technical","medium"
0.82,0.99,4,263,76,0,1,0,"technical","medium"
0.1,0.82,6,244,44,0,1,0,"technical","medium"
0.59,0.49,7,263,47,0,1,0,"technical","medium"
0.44,0.48,2,143,35,0,1,0,"technical","medium"
0.89,0.95,2,181,66,0,1,0,"technical","medium"
0.91,0.84,5,265,54,0,1,0,"technical","medium"
0.66,0.57,5,161,60,0,1,0,"technical","high"
0.11,0.87,7,282,58,0,1,0,"technical","low"
0.43,0.51,2,155,34,0,1,0,"technical","medium"
0.78,0.83,4,217,72,0,1,0,"support","medium"
0.11,0.97,6,289,65,0,1,0,"support","medium"
0.83,0.98,4,259,51,0,1,0,"support","medium"
0.39,0.54,2,158,43,0,1,0,"support","low"
